Rank,Name,Platform,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Sales NA,Sales PAL,Sales JP,Sales Other,Sales Global,Release Date,Last Update,Genre
18364,Scarface: The World is Yours,PC,Sierra Entertainment,Radical Entertainment,,,,,0.01m,0.02m,,0.00m,0.04m,08th Oct 06,,Adventure
18365,Sudoku Ball Detective,Wii,Playlogic Game Factory,WhiteBear Studios,,,,,0.02m,0.01m,,0.00m,0.04m,13th Oct 09,,Puzzle
18366,APB Reloaded,PC,IGS,Reloaded Productions,,,,,0.02m,0.01m,,0.00m,0.04m,01st Dec 11,,Role-Playing
18367,R.B.I. Baseball 2017,PS4,MLB.com,MLB.com,,,,,0.03m,,,0.01m,0.04m,28th Mar 17,25th Jun 18,Sports
18368,Enchanted Arms (JP sales),PS3,Ubisoft,From Software,,,,,,,0.04m,,0.04m,03rd Apr 07,,Role-Playing
18369,Monster Force,GBA,Universal Interactive,Digital Eclipse,,,,,0.03m,0.01m,,0.00m,0.04m,29th Sep 02,,Shooter
18370,Real Soccer 2008,DS,Ubisoft,Gameloft,,,,,0.03m,0.00m,,0.00m,0.04m,05th Feb 08,,Sports
18371,Onsei Kanjou Sokuteiki: Kokoro Scan,DS,Sega,Sega,,,,,,,0.04m,,0.04m,16th Aug 07,,Misc
18372,Clock Zero: Shuuen no Ichibyou Portable,PSP,Idea Factory,Unknown,,,,,,,0.04m,,0.04m,13th Oct 11,,Adventure
18373,San Goku Shi DS 3,DS,KOEI,Koei,,,,,,,0.04m,,0.04m,18th Feb 10,,Strategy
18374,Trick x Logic: Season 2,PSP,Sony Computer Entertainment,ChunSoft,,,,,,,0.04m,,0.04m,16th Sep 10,,Adventure
18375,Hakuouki: Zuisouroku,PS2,Idea Factory,Idea Factory,,,,,,,0.04m,,0.04m,27th Aug 09,,Adventure
18376,World Championship Pool 2004,XB,Jaleco,Blade Interactive,,,,,0.03m,0.01m,,0.00m,0.04m,09th Dec 03,,Sports
18377,Derby Tsuku 5: Derby Uma o Tsukurou!,PS2,Sega,Team Land Ho!,,,,,,,0.04m,,0.04m,19th Jan 06,,Sports
18378,Punch Line,PS4,PQube,5pb. Inc.,,,,,0.03m,,,0.01m,0.04m,09th Oct 18,,Adventure
18379,Jikkyou Powerful Major League 2009,Wii,Konami,PawaPuro Production,,,,,,,0.04m,,0.04m,29th Apr 09,,Sports
18380,SD Gundam Force: Showdown!,PS2,Bandai,Tom Create,,,,,0.02m,0.01m,,0.00m,0.04m,11th Oct 04,,Shooter
18381,Negima!? 3-Jikanme ~Koi to Mahou to Sekaiju Densetsu~,PS2,Konami,Konami,,,,,,,0.04m,,0.04m,16th Nov 06,,Adventure
18382,Ailu de Puzzle,PSP,Capcom,Natsume Atari,,,,,,,0.04m,,0.04m,19th Jul 12,26th Apr 19,Puzzle
18383,Caesar IV,PC,Sierra Entertainment,Tilted Mill Entertainment,,,,,,0.03m,,0.00m,0.04m,26th Sep 06,,Strategy
